c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,
2870,79,32,211,-139,120,195,188,48,828,5
2795,81,12,323,4,360,237,212,43,649,5
2693,79,24,120,-190,120,251,187,62,807,5
2806,37,7,125,-47,420,215,226,134,592,5
2430,38,30,150,-204,150,253,187,115,765,5
2631,49,6,277,-156,450,186,229,142,551,5
2951,141,6,342,162,541,244,216,96,2529,5
2784,105,18,156,186,330,250,227,162,1757,5
2760,108,19,221,128,270,103,207,102,658,5
2412,107,15,228,116,240,252,188,64,679,5
2792,104,18,335,160,360,179,214,88,576,5
2681,228,29,458,49,120,248,222,42,3236,5
2798,229,0,361,0,391,245,174,103,534,5
2801,153,15,342,3,450,234,239,135,474,5
2893,119,22,507,130,1774,177,158,140,573,5
2650,190,22,240,119,270,241,206,130,595,5
2769,111,20,300,137,330,200,215,19,531,5
2798,227,10,240,-779,1852,198,250,147,2302,5
2532,132,15,342,102,1745,244,192,106,467,5
2721,119,23,182,89,796,239,200,150,607,5
2912,128,26,209,26,1871,127,247,176,1687,5
2741,109,27,247,-446,277,249,203,17,739,5
2718,101,24,190,86,1282,250,195,61,592,5
2716,175,24,192,62,228,250,196,63,1449,5
2897,242,7,150,-782,2807,207,246,136,1602,5
2790,112,15,295,56,466,138,204,102,361,5
2662,82,24,409,8,150,245,190,38,674,5
2898,199,16,631,12,45,229,248,230,1617,5
2764,103,33,228,60,1891,244,161,100,417,5
2972,98,35,175,35,309,102,190,146,497,5
2233,156,22,85,-378,1224,244,195,70,636,5
2665,80,22,67,11,170,243,192,67,664,5
2564,205,15,150,-290,1592,212,251,172,1482,5
2821,234,13,427,2,1888,126,251,228,2862,5
2902,238,12,95,-623,1996,195,173,156,1635,5
2931,78,23,404,-1283,1609,241,191,66,1786,5
2816,182,11,262,-988,626,234,230,127,216,5
2800,144,15,240,13,1450,244,224,106,277,5
2792,48,16,240,5,1700,245,220,132,648,5
2776,95,23,431,-931,457,240,220,109,440,5
2662,256,20,421,9,2770,113,245,113,1170,5
3000,254,18,94,212,1298,175,247,209,1172,5
2872,175,27,108,-287,2880,251,221,180,1809,5
2771,95,19,108,19,301,246,209,17,503,5
2689,29,27,67,23,212,246,201,67,589,5
2686,255,15,134,-22,1364,253,186,199,6,5
2694,251,17,124,0,1387,191,248,144,1831,5
2705,240,13,120,10,1434,196,229,181,1159,5
2878,264,12,363,-23,3748,173,246,210,1471,5
2892,226,2,422,9,1994,168,251,183,1550,5
2811,107,10,182,2,646,172,228,120,518,5
2795,97,23,170,8,56,237,204,119,700,5
2335,64,12,207,-1066,510,222,220,112,295,5
2743,86,28,418,29,360,243,182,152,437,5
2713,87,20,622,-1044,1790,244,170,80,2141,5
2647,261,22,566,-25,1294,159,245,221,1110,5
2668,260,18,120,-283,2133,241,247,210,1112,5
2703,334,26,452,-450,1452,198,248,188,1326,5
2587,239,18,90,-1065,1500,195,199,184,3178,5
2424,218,19,275,24,1898,177,250,195,1374,5
2981,37,31,664,154,1213,249,203,30,518,5
2941,87,23,350,114,213,241,155,65,430,5
2810,89,11,524,23,658,236,223,117,866,5
2770,135,15,610,31,1688,248,220,101,1354,5
2761,101,16,124,27,420,245,220,97,570,5
2472,88,20,30,-126,210,245,200,45,2602,5
2462,304,12,578,41,1425,191,244,194,2649,5
2745,241,25,60,17,1842,235,223,199,1315,5
2838,265,13,60,-1107,1879,183,246,196,1573,5
2642,183,7,67,3,1898,178,244,204,1368,5
2673,198,9,0,0,1996,218,243,171,1465,5
2831,80,4,514,4,780,245,220,142,60,5
2697,195,9,170,41,1911,230,228,135,2516,5
2787,120,7,120,-144,570,148,193,101,447,5
2464,120,13,275,0,518,158,178,114,1347,5
2665,229,27,30,-287,150,247,162,48,633,5
2630,266,22,85,25,1316,110,234,141,1050,5
2643,225,22,67,-21,1337,152,243,221,2385,5
2682,264,21,60,2,1358,163,244,130,1050,5
2695,269,10,30,0,1658,195,247,189,1248,5
2705,273,9,30,3,1513,197,243,116,1077,5
2728,259,23,111,7,1607,187,201,199,1110,5
2367,136,37,159,-25,1681,92,251,203,1678,5
2733,272,14,75,-82,65,183,244,199,2165,5
2560,233,9,30,291,2038,197,232,245,1464,5
2906,104,19,242,-104,1224,248,214,87,331,5
2359,105,22,351,69,2395,215,207,31,301,5
2426,122,15,95,-1442,660,243,215,109,2326,5
2783,185,29,90,-782,540,241,229,149,242,5
2649,2,26,240,-271,120,169,192,51,661,5
2695,340,11,102,0,1889,222,242,191,1036,5
2547,281,10,0,190,1088,192,241,189,1041,5
2381,287,10,0,0,1579,126,239,216,451,5
2721,280,11,0,0,2162,148,245,190,1072,5
2625,218,12,172,-1348,1626,131,243,236,1082,5
2734,254,13,496,0,1650,224,189,199,1092,5
2861,351,19,30,2,1982,178,242,228,1360,5
2902,266,9,0,0,4071,197,244,126,1530,5
2911,242,29,256,84,1226,249,199,24,360,5
2876,111,27,175,49,1050,247,198,54,270,5
2796,130,17,73,9,630,244,221,109,1907,5
2653,268,24,0,0,1401,161,243,218,2060,5
2682,159,15,0,0,491,163,244,202,997,5
2986,286,18,30,13,1832,111,208,211,3147,5
2820,308,9,30,-152,3223,184,214,195,1224,5
2884,261,9,139,0,2063,199,238,185,1400,5
2894,172,18,7,3,2328,205,223,180,933,5
2896,248,5,30,3,2123,208,244,173,2537,5
2595,94,38,277,87,1529,250,216,81,460,5
2896,213,19,218,-788,1080,249,220,68,2137,5
2739,135,18,42,0,1458,245,232,166,331,5
2746,139,19,30,-179,421,245,170,107,2801,5
2607,284,39,617,0,1340,129,178,214,944,5
2513,240,21,0,43,1364,63,194,153,1616,5
2712,214,21,0,-1196,2762,161,243,218,290,5
2719,288,10,33,14,1459,193,238,186,532,5
2798,274,15,60,26,2435,167,242,212,1148,5
2819,275,17,60,30,3570,146,242,207,1182,5
2836,269,25,511,-23,1956,178,235,188,396,5
2849,266,18,30,-790,1991,178,249,208,2556,5
2881,209,6,42,-28,2105,158,236,167,1400,5
2897,129,13,242,69,1245,249,165,125,365,5
2312,46,14,0,-402,1191,244,234,107,11,5
2747,121,16,405,35,454,246,225,103,335,5
2361,117,27,67,-267,805,254,204,64,3451,5
2738,280,23,360,-1454,1706,186,240,195,2144,5
2835,345,13,60,9,2241,183,241,169,1020,5
2796,261,17,90,27,1897,177,247,207,415,5
2759,273,9,67,-646,1981,196,243,186,1214,5
2891,274,14,90,7,2167,178,243,192,1425,5
2869,283,9,16,5,250,196,241,158,1448,5
2792,132,8,0,0,658,232,208,36,1935,5
2782,74,12,30,-126,846,229,169,112,201,5
2525,118,14,42,-510,1082,243,250,106,2307,5
2860,243,15,90,16,2194,189,226,197,1805,5
2469,121,10,30,-29,2429,202,191,103,192,5
2777,85,15,60,-1168,562,240,223,99,242,5
2744,96,17,474,-894,458,198,214,89,473,5
2735,103,16,30,-22,433,245,217,104,379,5
2720,122,16,67,-1253,379,244,226,152,437,5
2815,91,10,30,-25,808,235,226,122,1349,5
2434,156,6,0,-308,721,223,226,138,153,5
2802,54,7,0,0,158,223,225,115,162,5
2799,145,8,20,0,664,229,226,81,175,5
2698,142,16,85,-228,552,245,220,99,2104,5
2768,250,16,85,-677,524,191,196,179,283,5
2572,146,16,67,8,2237,246,211,97,2858,5
2732,163,36,564,-281,417,248,217,89,390,5
2271,273,16,99,1,1504,175,243,206,841,5
2856,23,14,47,29,930,212,211,134,277,5
2855,61,2,639,24,2604,199,234,104,255,5
2842,70,38,42,-1112,888,230,203,89,234,5
2816,60,12,0,0,412,180,215,168,190,5
2524,38,16,475,-522,287,123,186,82,2333,5
2849,316,11,30,1,1544,178,243,203,812,5
2670,271,8,415,0,1985,219,241,201,815,5
2828,137,17,465,4,969,232,184,96,228,5
2817,25,11,42,5,735,215,219,140,1175,5
2869,49,10,53,3,837,224,194,127,212,5
2361,72,18,298,3,677,163,216,112,218,5
2801,158,14,196,-29,648,240,217,5,228,5
2760,118,26,108,-280,560,155,221,102,277,5
2767,186,18,127,-274,737,180,222,97,297,5
2750,194,20,124,-479,474,250,202,87,741,5
2718,197,36,120,0,390,251,216,76,417,5
2765,231,18,175,39,1894,189,207,198,932,5
2322,161,17,134,25,3661,188,253,198,2869,5
2766,229,11,150,30,1936,138,237,131,1334,5
2982,122,14,90,7,814,243,166,106,285,5
2362,347,30,30,-328,578,185,240,182,1998,5
2693,150,11,0,0,1693,187,240,123,742,5
2743,230,13,108,11,1911,199,251,187,865,5
2858,123,7,80,-107,810,225,246,153,1367,5
2803,169,21,134,-272,693,221,227,96,90,5
2775,135,14,417,-352,603,250,164,81,323,5
2678,134,26,108,-196,365,214,229,92,469,5
2473,71,14,0,0,2951,236,189,104,1825,5
2845,285,3,143,0,1711,193,202,186,731,5
2583,263,8,317,8,2977,201,225,182,824,5
2577,227,7,300,28,781,198,235,159,488,5
2809,36,11,421,-287,751,246,225,12,331,5
2739,272,9,42,-763,942,197,242,185,1934,5
2889,185,24,234,-505,750,236,251,107,433,5
2792,92,22,182,-270,2520,249,195,91,1325,5
2713,135,27,192,60,510,252,177,103,417,5
2675,64,7,0,0,1358,227,226,132,698,5
2746,247,20,0,0,784,194,201,183,2744,5
2986,281,8,70,4,2070,104,254,90,1510,5
2760,244,12,30,-197,2016,195,250,191,830,5
2838,168,16,162,15,579,230,216,113,1456,5
2607,129,34,212,-262,1064,249,207,92,390,5
2753,124,35,240,-230,630,245,214,75,400,5
2615,115,12,236,-886,2429,107,227,114,768,5
2726,227,11,595,-29,1883,145,235,172,685,5
2738,304,9,0,0,1561,195,211,112,732,5
2747,283,8,126,0,2015,104,241,181,2238,5
2458,169,37,371,199,2995,139,193,138,499,5
2809,218,24,331,-287,690,246,186,130,446,5
2704,111,14,335,-68,2496,243,202,106,726,5
2696,92,11,0,-812,848,238,221,114,2138,5
2729,307,12,67,1,1899,166,233,123,630,5
2941,312,10,30,6,2015,195,228,96,1057,5
2816,261,21,563,-24,545,174,239,125,1800,5
2807,150,22,154,-285,660,242,197,88,485,5
2937,147,18,326,-266,663,232,235,37,459,5
2963,76,6,0,-51,195,188,241,128,684,5
2753,324,8,60,15,2037,253,219,82,722,5
2777,254,14,30,4,2165,188,248,198,853,5
2809,56,22,80,171,630,221,174,148,681,5
2785,271,20,301,-263,631,114,234,31,2033,5
2759,320,8,67,6,3656,199,233,173,2292,5
2769,325,13,0,0,2143,184,231,187,787,5
2773,301,10,0,-30,3976,157,199,186,1803,5
2795,211,24,268,-621,601,254,241,96,624,5
2384,174,23,272,-1086,600,103,245,138,577,5
2780,315,6,0,0,2207,205,235,170,816,5
2779,151,18,623,78,570,225,244,140,604,5
2778,166,37,339,157,570,233,241,117,845,5
2351,184,4,210,50,540,137,194,153,659,5
2929,265,8,30,-29,1853,200,244,182,1845,5
2750,350,8,30,4,1673,192,248,172,1529,5
2742,158,21,216,36,514,238,237,119,2969,5
2808,311,14,254,0,1854,182,230,229,1028,5
2928,309,8,30,-144,1751,199,242,182,1290,5
2931,301,8,125,-1117,1839,227,239,206,1319,5
2917,282,8,0,0,1812,146,241,170,1285,5
2944,252,6,0,-804,1315,124,186,185,1405,5
2947,291,9,279,0,1734,201,246,184,1553,5
2976,323,8,212,0,2016,206,223,178,423,5
2583,289,20,153,35,2407,232,205,132,655,5
2784,294,22,281,3,4203,94,229,213,941,5
2436,255,30,56,12,3662,187,248,199,1110,5
2907,273,10,0,0,1959,194,171,189,1167,5
2688,170,10,0,0,1825,138,242,106,1606,5
2971,263,2,65,2,1514,214,240,164,3812,5
2728,190,16,134,22,488,160,242,133,677,5
2449,229,21,185,0,2214,159,163,196,875,5
2859,294,33,258,0,1243,148,232,206,959,5
2877,288,29,38,-946,3784,129,177,210,1015,5
2886,274,20,271,0,2026,166,186,199,967,5
2908,277,12,554,0,1945,146,242,128,1158,5
2877,254,13,0,0,862,185,241,228,1006,5
2817,260,20,31,2,2105,189,232,147,939,5
2558,316,12,30,-680,3525,184,226,148,968,5
2889,297,14,90,25,2748,75,234,197,2504,5
2537,225,15,107,167,2475,192,254,187,1756,5
2879,188,21,314,24,2517,220,227,159,1841,5
2863,210,2,293,92,1048,187,254,182,1766,5
2623,155,18,166,54,426,238,242,46,2606,5
2825,83,25,190,79,865,244,188,77,1291,5
2466,90,23,71,64,890,249,180,38,1317,5
2790,95,32,134,7,916,251,184,27,2503,5
2614,142,30,108,32,942,250,170,41,1369,5
2848,88,37,274,-989,1959,236,254,184,1749,5
2394,244,13,300,-14,1012,203,230,177,3160,5
2963,199,26,64,45,297,218,245,88,778,5
2407,156,26,216,-618,339,239,205,110,808,5
2944,163,19,382,43,178,234,242,143,858,5
2943,169,17,277,-173,433,231,245,140,876,5
2926,149,11,270,72,558,154,240,135,1346,5
2639,189,11,270,61,616,159,177,127,1064,5
2909,106,12,408,49,2490,241,227,114,1110,5
2821,193,18,451,-264,1025,178,231,207,1678,5
2634,244,16,232,77,375,116,251,200,1788,5
2947,115,27,150,29,255,220,244,128,656,5
2948,105,47,162,35,277,218,245,132,805,5
2845,165,24,192,38,1432,122,239,124,834,5
2695,202,18,429,42,2083,232,244,136,882,5
2564,130,11,240,51,616,239,234,123,1106,5
2423,359,22,150,52,1573,161,254,198,1691,5
2932,66,9,121,-534,277,222,254,211,845,5
2929,167,11,583,37,350,197,251,131,890,5
2913,173,17,210,-212,511,216,194,143,1040,5
2801,99,49,249,51,819,241,178,43,1340,5
2804,232,20,108,-202,981,183,253,185,1900,5
2918,182,20,127,-1209,258,222,248,231,872,5
2910,168,28,190,55,390,231,241,127,949,5
2533,174,22,180,-107,469,227,211,138,1041,5
2900,139,9,182,146,600,233,238,137,1168,5
2785,114,26,528,30,832,254,159,60,1381,5
2721,109,29,537,13,886,175,217,90,1068,5
2753,102,13,30,-456,2518,237,222,107,1456,5
2911,299,21,447,257,728,233,243,137,927,5
2627,155,17,170,23,1015,237,239,119,2920,5
2898,67,20,162,-1084,362,236,238,122,797,5
2894,20,14,192,54,582,195,235,119,1927,5
2889,20,15,428,-1316,607,241,217,57,1211,5
2780,105,21,108,-18,819,249,198,75,1398,5
2733,89,30,60,-554,875,243,231,26,1448,5
2446,140,20,446,249,1634,174,210,81,2217,5
2905,238,4,108,-1312,256,222,250,154,2565,5
2899,154,17,150,15,1865,239,238,40,967,5
2728,153,11,124,30,350,164,238,122,1015,5
2880,188,19,120,25,2021,210,244,151,1032,5
2881,258,39,120,-1000,384,225,246,141,1050,5
2869,124,22,150,-1091,644,251,248,115,1276,5
2694,233,16,446,86,1400,215,241,163,808,5
2895,105,14,244,11,247,222,248,155,966,5
2861,190,22,90,18,474,169,218,136,3630,5
2872,213,17,339,115,2213,202,234,183,1260,5
2879,198,5,361,-282,2154,119,245,163,702,5
2811,173,15,523,4,1657,190,208,216,2870,5
2663,152,14,85,18,283,236,240,97,3335,5
2412,146,3,60,-278,319,238,237,159,1082,5
2859,165,16,60,4,361,231,244,138,1116,5
2459,137,21,159,-443,510,218,243,138,333,5
2848,170,32,463,25,564,223,211,83,1273,5
2842,167,30,90,42,1264,229,235,115,1316,5
2825,136,32,90,23,1007,205,163,61,1360,5
2557,106,27,319,50,1761,243,223,107,631,5
2385,142,12,361,113,2060,132,251,186,797,5
2616,120,0,30,4,417,238,238,120,1603,5
2829,167,29,122,6,2087,224,224,115,2127,5
2777,184,22,42,12,750,169,227,157,1448,5
2734,107,2,424,88,1604,247,217,92,692,5
2846,203,16,258,89,2230,205,253,117,537,5
2852,157,29,276,99,2200,191,218,194,671,5
2868,203,9,353,-533,2083,167,248,168,780,5
2355,176,8,325,0,182,226,242,150,496,5
2843,130,8,0,0,1106,233,235,135,1182,5
2658,139,13,0,0,430,240,235,149,2869,5
2807,146,24,30,246,626,154,163,20,193,5
2439,230,6,300,98,773,210,216,173,1199,5
2865,252,24,300,100,1694,202,242,177,792,5
2802,150,9,0,0,589,192,234,139,1379,5
2875,82,14,319,-706,509,208,214,112,767,5
2862,111,17,417,-26,1716,251,175,77,230,5
2845,108,30,145,91,2170,242,192,43,125,5
2501,238,17,192,-546,2551,209,252,200,732,5
2812,286,22,294,168,3466,181,254,199,3129,5
2822,222,16,127,57,394,198,254,189,2029,5
2399,124,13,568,73,1842,241,220,165,882,5
2576,232,43,67,28,3449,182,250,178,721,5
2815,120,14,228,159,2261,243,220,115,1121,5
2787,108,7,127,34,1977,242,224,109,764,5
2832,107,17,258,-766,1027,217,216,92,3212,5
2782,88,6,309,-392,125,245,234,106,849,5
2594,201,30,255,81,1894,252,209,71,1045,5
2624,122,18,175,48,2250,247,222,95,955,5
2666,292,8,90,-1488,1610,221,186,174,1543,5
2871,169,3,60,109,2113,217,245,90,952,5
2893,220,8,393,8,2381,220,227,76,2422,5
2900,288,6,67,13,1664,142,247,175,1504,5
2798,227,18,134,34,2018,117,226,68,997,5
2327,41,1,170,0,1342,221,172,143,972,5
2826,323,7,30,-1235,1415,208,195,127,1120,5
2521,219,6,42,-226,2982,208,231,139,1150,5
2888,209,5,30,-594,1639,216,244,163,1729,5
2898,152,6,95,7,2284,124,243,183,2302,5
2894,149,28,212,-353,1775,224,245,234,2182,5
2895,173,9,272,5,34,241,245,147,3546,5
2824,115,27,170,58,2548,232,154,57,1082,5
2795,111,22,108,-721,2040,247,220,79,1019,5
2748,109,16,95,23,2060,192,198,98,999,5
2779,110,3,85,18,461,244,222,103,979,5
2823,312,7,30,0,1410,104,235,128,1065,5
2862,291,30,124,-282,635,190,238,188,1421,5
2885,209,5,0,0,863,174,244,165,1583,5
2891,246,26,199,-1039,1693,203,215,182,1860,5
2982,171,5,60,5,3676,162,192,154,1507,5
2893,141,5,448,2,1786,210,231,150,9,5
2875,264,9,421,248,1816,225,213,151,1357,5
2889,155,10,422,-1048,1848,231,196,141,1307,5
2331,53,15,275,4,725,213,207,72,983,5
2525,77,2,208,3,2639,217,227,188,1523,5
2879,95,13,319,104,825,143,237,133,1279,5
2794,125,20,108,35,2047,184,237,70,1104,5
2833,51,18,85,-826,3339,135,192,147,1048,5
2830,186,9,142,-938,2959,211,188,146,1992,5
2841,321,13,67,-520,1556,186,194,95,3120,5
2869,298,5,176,-289,1670,195,220,140,1460,5
2755,180,5,182,-465,1839,224,237,148,1440,5
2877,250,12,258,102,1914,239,234,123,1321,5
2866,317,2,153,-286,1668,190,230,232,1406,5
2888,328,12,30,8,2734,182,226,196,41,5
2892,324,10,30,9,1951,194,186,175,1495,5
2895,316,9,42,8,3544,196,223,175,1500,5
2998,330,4,67,-71,1798,176,235,162,1513,5
2483,185,19,283,91,1997,246,228,104,1318,5
2808,188,22,134,42,1630,251,191,83,1189,5
2850,148,15,318,13,1590,181,221,180,2503,5
2335,281,11,90,25,1622,164,167,192,1337,5
2862,323,12,150,24,1657,190,233,192,3671,5
2874,323,9,386,-24,1710,198,228,157,1441,5
2888,301,23,635,9,783,188,225,176,1478,5
2898,340,7,111,15,2534,203,233,169,1471,5
2920,27,6,150,7,1865,158,226,51,1659,5
2897,15,8,314,-77,2181,214,225,148,1500,5
2967,65,9,552,2,1906,229,177,110,1452,5
2554,115,19,268,-326,796,201,202,96,1338,5
2813,134,22,150,44,2065,251,215,80,1231,5
2850,282,12,300,4,1585,191,217,219,2039,5
2888,311,14,95,9,1774,180,244,188,1797,5
2903,157,5,134,19,1865,228,215,156,1463,5
2990,7,8,170,11,1892,211,225,151,1480,5
2889,63,14,439,-29,3084,232,211,109,1448,5
2883,139,30,295,-23,3531,158,184,108,1425,5
2628,327,11,0,0,534,192,205,174,510,5
2907,33,4,407,27,2869,181,232,129,762,5
2422,45,20,268,90,2042,249,209,173,1335,5
2987,100,13,42,3,4131,109,222,109,1260,5
2622,151,2,242,24,1972,130,239,152,1395,5
2794,104,17,90,19,945,162,216,94,1321,5
2791,107,14,85,13,3439,243,226,108,1859,5
2782,154,7,30,7,2222,205,202,131,1308,5
2780,135,5,584,-230,390,228,197,141,1332,5
2683,133,31,100,69,855,248,222,141,1369,5
2839,251,26,575,-1462,2148,252,181,73,1396,5
2782,216,10,133,4,1277,237,223,175,190,5
2830,128,24,190,-295,2174,161,209,145,3066,5
2663,102,12,67,5,3752,153,225,80,3620,5
2869,130,23,175,36,2187,250,220,78,1329,5
2897,145,29,698,91,2079,187,245,115,1179,5
2597,117,16,280,23,2241,141,223,101,1276,5
2892,143,8,256,-1284,2106,240,235,160,1106,5
2516,83,10,60,3,2990,234,223,57,2318,5
2837,142,25,521,34,2230,242,234,115,1155,5
2852,144,17,124,205,837,139,235,117,827,5
2533,266,32,525,24,2165,178,234,114,2645,5
2702,18,13,564,193,2089,234,241,100,1027,5
2830,123,7,108,-358,2257,242,233,115,1127,5
2881,148,11,67,10,943,234,201,135,1345,5
2866,88,10,162,53,2028,237,231,108,3310,5
2359,155,18,345,-1094,1156,236,240,131,1019,5
2887,158,15,218,64,2818,234,246,92,964,5
2846,67,15,572,33,2256,243,233,205,2704,5
2834,213,16,90,21,2278,227,233,115,1036,5
2883,153,15,340,54,2788,237,212,129,932,5
2876,154,17,182,53,2166,150,164,76,938,5
2872,151,33,110,49,2182,240,236,57,3197,5
2861,197,16,127,-290,248,245,229,108,842,5
2883,131,13,192,45,2012,177,232,27,812,5
2811,132,9,202,-328,1078,242,232,117,785,5
2748,131,16,222,-962,3110,231,230,111,781,5
2872,130,19,150,-320,885,185,231,114,267,5
2874,67,18,153,17,2379,187,220,115,2368,5
2865,116,15,124,-23,2391,169,224,78,1945,5
2890,95,25,150,-388,471,247,146,99,541,5
2939,80,20,175,41,2181,163,211,98,1689,5
2898,107,23,134,-922,2430,247,217,65,1944,5
2939,104,27,257,41,2307,248,213,64,571,5
2639,117,22,124,-883,2301,251,181,119,573,5
2908,108,21,95,10,2359,250,211,65,531,5
2651,160,14,480,-1115,725,225,241,137,2167,5
2954,155,19,450,116,2431,149,239,126,4057,5
2941,143,10,459,75,808,231,231,140,69,5
2941,173,20,421,103,2134,225,179,152,2245,5
2930,186,6,763,-666,1037,221,233,157,2175,5
2923,201,9,360,85,819,214,227,182,999,5
2915,179,16,330,77,2696,225,168,151,2173,5
2707,28,6,240,8,30,218,230,148,1873,5
2701,100,4,120,-115,1645,227,233,232,1587,5
2490,114,5,267,-814,60,227,203,208,203,5
2906,202,27,300,68,854,230,201,140,2160,5
2844,24,6,260,11,2231,217,227,147,716,5
2708,113,5,257,9,67,219,234,102,750,5
2700,297,16,270,61,892,234,190,159,1656,5
2696,124,8,131,-484,2060,225,223,138,870,5
2428,13,8,490,35,85,216,222,143,767,5
2737,26,8,256,17,95,216,222,48,782,5
2793,49,8,201,-26,1701,218,225,227,577,5
2704,47,12,127,-1165,153,224,189,105,1602,5
2884,157,31,264,46,940,235,241,134,2203,5
2721,26,1,495,212,190,217,240,208,1422,5
2916,18,7,351,-743,67,214,226,151,765,5
2723,21,5,434,24,85,234,227,109,778,5
2418,27,7,496,30,90,237,226,144,2494,5
2727,39,6,15,28,95,192,227,142,792,5
2722,58,4,282,23,1365,223,229,143,3079,5
2915,76,7,355,15,1043,123,227,123,937,5
2697,82,7,475,-327,1108,230,228,208,977,5
2851,43,11,499,34,123,222,216,87,750,5
2618,81,9,723,29,818,221,170,135,1264,5
2694,130,7,485,37,1575,218,226,143,779,5
2972,57,7,67,30,1722,118,226,208,819,5
2787,90,4,300,28,170,222,169,143,860,5
2653,57,9,192,20,1127,226,226,134,229,5
2771,48,9,170,37,120,223,223,160,785,5
2742,36,8,576,29,120,220,172,106,785,5
2731,60,8,531,-67,1179,244,221,46,847,5
2490,27,4,297,29,2093,177,231,127,900,5
2860,178,24,108,35,1115,214,247,229,2419,5
2777,132,10,756,43,150,172,159,131,3492,5
2771,43,9,516,37,132,247,220,143,812,5
2992,22,20,321,51,150,214,230,140,819,5
2517,129,20,319,31,1372,222,251,227,927,5
2916,61,22,533,30,255,225,228,137,942,5
2702,123,9,497,18,277,228,191,125,1221,5
2753,36,11,525,-1610,385,220,242,192,224,5
2767,40,11,568,33,180,208,216,194,670,5
2335,17,13,604,-708,64,207,176,139,849,5
2768,30,13,618,-386,781,212,215,133,871,5
2902,67,7,268,27,360,164,226,132,1057,5
2708,73,7,268,24,339,229,226,131,1074,5
2886,166,15,206,-1000,2222,231,216,152,1923,5
2783,77,21,819,49,66,219,249,139,902,5
2736,169,18,210,84,992,235,201,138,3019,5
2707,46,9,618,59,1404,186,221,142,967,5
2843,209,28,124,47,1320,187,252,184,2742,5
2850,166,17,190,69,900,166,244,142,3036,5
2651,20,10,519,64,330,214,188,199,997,5
2795,18,10,658,-587,330,212,218,142,994,5
2557,208,28,108,-1526,1290,187,251,183,2784,5
2850,194,27,285,53,1230,204,249,163,2835,5
2852,184,26,462,58,1200,147,247,147,2862,5
2685,193,25,481,-1228,1140,225,244,44,2914,5
2841,172,18,162,-276,900,169,245,74,3062,5
2784,227,17,508,32,1802,198,251,87,2825,5
2611,174,27,150,50,1769,228,202,142,2719,5
2764,114,46,67,-411,1231,209,249,124,3106,5
2819,182,13,188,38,992,218,246,114,3074,5
2806,184,25,269,-1160,169,217,247,148,3115,5
2962,198,2,481,208,2336,217,240,158,1507,5
2336,88,8,722,129,564,224,246,154,1530,5
2475,160,5,684,127,591,155,227,154,1490,5
2956,185,21,649,-473,29,222,248,248,1452,5
2918,153,19,385,106,618,239,237,119,1448,5
2930,183,22,511,226,619,220,193,103,1657,5
2765,284,22,658,230,1862,231,249,154,1637,5
2918,185,22,804,214,604,183,250,118,2182,5
2904,189,24,534,-988,618,213,249,132,3712,5
2890,54,26,552,189,525,234,245,180,2077,5
2895,192,24,604,-128,713,200,188,142,1687,5
2902,183,18,804,70,765,222,249,182,1923,5
2883,89,10,365,-1031,690,229,218,121,1405,5
2878,54,10,371,46,690,226,218,123,1047,5
2898,212,10,515,66,759,211,250,248,1574,5
2885,108,30,335,53,720,230,226,128,1433,5
2849,205,26,408,-215,658,196,253,179,99,5
2875,195,28,541,43,792,159,175,166,2763,5
2887,210,28,219,55,234,211,191,168,1923,5
2891,229,9,17,59,797,206,249,180,1616,5
2527,198,3,350,72,765,218,242,160,1557,5
2846,193,23,424,145,711,209,223,206,1871,5
2850,328,25,561,-185,587,207,250,163,2657,5
2858,327,33,536,270,808,204,252,169,1740,5
2686,213,22,463,116,698,194,254,186,1953,5
2836,178,22,681,137,765,211,246,82,1855,5
2463,354,7,616,57,916,165,185,79,1492,5
2889,6,3,185,186,808,211,226,137,1483,5
2698,60,29,404,47,92,166,184,127,3681,5
2811,220,20,319,110,1720,193,254,192,1975,5
2817,210,29,339,116,738,203,223,181,1956,5
2823,187,20,382,124,765,218,181,157,1916,5
2441,189,19,405,18,886,183,238,226,1756,5
2885,231,11,516,54,882,194,214,182,1693,5
2740,119,10,30,-360,1591,196,189,125,2508,5
2727,62,7,429,0,484,226,193,134,2455,5
2720,141,8,0,0,290,231,209,137,2549,5
2846,198,3,417,118,845,192,216,169,111,5
2830,236,16,873,136,886,189,248,126,4029,5
2892,39,3,277,60,859,173,237,166,1536,5
2884,47,9,342,-852,845,224,173,113,1519,5
2742,177,20,602,-1472,765,187,254,198,2152,5
2728,181,20,319,-248,805,222,248,157,2362,5
2893,22,4,598,67,1472,217,229,88,1559,5
2446,51,6,0,0,569,239,183,139,3781,5
2790,188,22,277,91,819,203,250,157,308,5
2805,236,16,637,-324,2809,112,193,197,2014,5
2343,247,20,170,56,797,188,254,198,2061,5
2775,308,39,234,76,926,253,199,164,2030,5
2777,44,7,354,79,845,198,249,154,2021,5
2783,213,25,571,-1062,899,140,252,178,2283,5
2919,303,21,384,127,1874,163,245,217,1889,5
2488,200,19,342,46,1006,135,226,141,1812,5
2766,184,18,30,-1054,716,230,234,154,4652,5
2848,85,20,170,57,1145,248,254,180,2022,5
2792,269,18,562,-200,1439,86,244,202,868,5
2788,266,19,395,25,1034,169,192,213,1868,5
